CITY 1,CITY 2,PASSENGERS TO CITY 2,CITY 1 ID,CITY 2 ID,lat1,long1,lat2,long2
BAGDOGRA,KOLKATA,347012,11,72,26.6831,88.3285,22.5726,88.3639
BAGDOGRA,LUCKNOW,15,11,79,26.6831,88.3285,26.8467,80.9462
BAGDOGRA,MUMBAI,139411,11,85,26.6831,88.3285,19.076,72.8777
BAGDOGRA,RANCHI,167,11,100,26.6831,88.3285,23.3441,85.3096
BAREILLY,BENGALURU,22512,12,14,28.367,79.4304,12.9716,77.5946
BAREILLY,CHENNAI,120,12,24,28.367,79.4304,13.0827,80.2707
BAREILLY,DELHI,7316,12,32,28.367,79.4304,28.6139,77.209
BAREILLY,JAIPUR,6211,12,53,28.367,79.4304,26.9124,75.7873
BAREILLY,MUMBAI,26438,12,85,28.367,79.4304,19.076,72.8777
BELGAUM,BENGALURU,49612,13,14,15.862,74.5085,12.9716,77.5946
BELGAUM,DELHI,13420,13,32,15.862,74.5085,28.6139,77.209
BELGAUM,HYDERABAD,20783,13,47,15.862,74.5085,17.385,78.4867
BELGAUM,INDORE,4754,13,49,15.862,74.5085,22.7196,75.8577
BELGAUM,JAIPUR,4007,13,53,15.862,74.5085,26.9124,75.7873
BELGAUM,JODHPUR,6368,13,60,15.862,74.5085,26.2389,73.0243
BELGAUM,MUMBAI,10052,13,85,15.862,74.5085,19.076,72.8777
BELGAUM,NAGPUR,4983,13,87,15.862,74.5085,21.1458,79.0882
BELGAUM,SURAT,7422,13,111,15.862,74.5085,21.1702,72.8311
BELGAUM,TIRUPATI,6819,13,115,15.862,74.5085,13.6288,79.4192
BENGALURU,BHOPAL,83386,14,17,12.9716,77.5946,23.2599,77.4126
BENGALURU,BHUBANESWAR,391920,14,18,12.9716,77.5946,20.2961,85.8245
BENGALURU,BIDAR,9533,14,20,12.9716,77.5946,17.9133,77.5301
BENGALURU,CHANDIGARH,219541,14,23,12.9716,77.5946,30.7333,76.7794
BENGALURU,CHENNAI,681209,14,24,12.9716,77.5946,13.0827,80.2707
BENGALURU,COIMBATORE,158081,14,25,12.9716,77.5946,11.0168,76.9558
BENGALURU,CUDDAPAH,2659,14,27,12.9716,77.5946,14.4786,78.8236
BENGALURU,DABOLIM,498744,14,28,12.9716,77.5946,15.3801,73.8341
BENGALURU,DARBHANGA,57052,14,29,12.9716,77.5946,26.1522,85.896
BENGALURU,DEHRA DUN,19846,14,30,12.9716,77.5946,30.3165,78.0322
BENGALURU,DEHRADUN,39381,14,31,12.9716,77.5946,30.3165,78.0322
BENGALURU,DELHI,2393179,14,32,12.9716,77.5946,28.6139,77.209
BENGALURU,DIMAPUR,8106,14,36,12.9716,77.5946,25.7951,93.9501
BENGALURU,DURGAPUR,53448,14,38,12.9716,77.5946,23.5505,87.2885
BENGALURU,GOA,54047,14,41,12.9716,77.5946,15.2993,74.124
BENGALURU,GORAKHPUR,6248,14,43,12.9716,77.5946,26.7606,83.3732
BENGALURU,GUWAHATI,388618,14,44,12.9716,77.5946,26.1445,91.7362
BENGALURU,GWALIOR,27380,14,45,12.9716,77.5946,26.2183,78.1828
BENGALURU,HUBLI,45825,14,46,12.9716,77.5946,15.3647,75.1239
BENGALURU,HYDERABAD,1143762,14,47,12.9716,77.5946,17.385,78.4867
BENGALURU,IMPHAL,11163,14,48,12.9716,77.5946,24.817,93.9368
BENGALURU,INDORE,155161,14,49,12.9716,77.5946,22.7196,75.8577
BENGALURU,JAIPUR,303006,14,53,12.9716,77.5946,26.9124,75.7873
BENGALURU,JAMMU,9100,14,55,12.9716,77.5946,32.7266,74.857
BENGALURU,JAMNAGAR,10820,14,56,12.9716,77.5946,22.4707,70.0577
BENGALURU,JHARSUGUDA,7109,14,59,12.9716,77.5946,21.868,84.0222
BENGALURU,JODHPUR,60877,14,60,12.9716,77.5946,26.2389,73.0243
BENGALURU,JORHAT,4326,14,61,12.9716,77.5946,26.7465,94.202
BENGALURU,KADAPA,1157,14,62,12.9716,77.5946,14.4674,78.8242
BENGALURU,KALABURAGI,22524,14,63,12.9716,77.5946,17.3297,76.8372
BENGALURU,KANNUR,62453,14,65,12.9716,77.5946,11.8745,75.3704
BENGALURU,KANPUR,47302,14,66,12.9716,77.5946,26.4499,80.3319
